Dataset,Seed,Method,Class,Support,Precision,Recall,F1
CICIDS2017-7group,44,AE latent + MLP,BENIGN,600,91.38240574506284,84.83333333333334,87.98617113223854
CICIDS2017-7group,44,AE latent + MLP,Bot/Infiltration,598,91.74917491749174,92.97658862876254,92.35880398671095
CICIDS2017-7group,44,AE latent + MLP,Brute Force,600,94.29530201342284,93.66666666666669,93.9799331103679
CICIDS2017-7group,44,AE latent + MLP,DDoS,600,98.3221476510067,97.66666666666669,97.9933110367893
CICIDS2017-7group,44,AE latent + MLP,DoS,600,95.06802721088437,93.16666666666666,94.10774410774413
CICIDS2017-7group,44,AE latent + MLP,PortScan,600,91.437802907916,94.33333333333334,92.86300246103364
CICIDS2017-7group,44,AE latent + MLP,Web Attack,202,80.67226890756302,95.04950495049503,87.27272727272727
CICIDS2017-7group,44,Optimized Gated AE-T,BENIGN,600,87.93103448275862,68.0,76.69172932330827
CICIDS2017-7group,44,Optimized Gated AE-T,Bot/Infiltration,598,75.35612535612536,88.46153846153845,81.38461538461539
CICIDS2017-7group,44,Optimized Gated AE-T,Brute Force,600,86.46616541353383,76.66666666666667,81.2720848056537
CICIDS2017-7group,44,Optimized Gated AE-T,DDoS,600,92.6905132192846,99.33333333333331,95.89702333065163
CICIDS2017-7group,44,Optimized Gated AE-T,DoS,600,80.44382801664355,96.66666666666669,87.8122634367903
CICIDS2017-7group,44,Optimized Gated AE-T,PortScan,600,86.71875,74.0,79.85611510791367
CICIDS2017-7group,44,Optimized Gated AE-T,Web Attack,202,83.6283185840708,93.56435643564356,88.3177570093458
CICIDS2017-7group,44,Raw + MLP,BENIGN,600,95.02868068833652,82.83333333333334,88.51291184327692
CICIDS2017-7group,44,Raw + MLP,Bot/Infiltration,598,89.54041204437401,94.48160535117056,91.9446704637917
CICIDS2017-7group,44,Raw + MLP,Brute Force,600,89.5330112721417,92.66666666666666,91.07289107289108
CICIDS2017-7group,44,Raw + MLP,DDoS,600,97.8369384359401,98.0,97.91840133222316
CICIDS2017-7group,44,Raw + MLP,DoS,600,92.81150159744408,96.83333333333334,94.77977161500816
CICIDS2017-7group,44,Raw + MLP,PortScan,600,92.38938053097344,87.0,89.6137339055794
CICIDS2017-7group,44,Raw + MLP,Web Attack,202,82.83261802575107,95.54455445544554,88.73563218390804
CICIDS2017-7group,44,Gated AE-T without focal,BENIGN,600,92.81314168377824,75.33333333333333,83.16467341306347
CICIDS2017-7group,44,Gated AE-T without focal,Bot/Infiltration,598,88.28382838283828,89.4648829431438,88.87043189368771
CICIDS2017-7group,44,Gated AE-T without focal,Brute Force,600,93.0390492359932,91.33333333333331,92.17830109335576
CICIDS2017-7group,44,Gated AE-T without focal,DDoS,600,94.5859872611465,99.0,96.74267100977198
CICIDS2017-7group,44,Gated AE-T without focal,DoS,600,92.11356466876973,97.33333333333334,94.6515397082658
CICIDS2017-7group,44,Gated AE-T without focal,PortScan,600,88.71224165341812,93.0,90.80553295362084
CICIDS2017-7group,44,Gated AE-T without focal,Web Attack,202,83.25991189427313,93.56435643564356,88.11188811188812
CICIDS2017-7group,44,Random Forest,BENIGN,600,97.37704918032787,99.0,98.1818181818182
CICIDS2017-7group,44,Random Forest,Bot/Infiltration,598,99.66555183946488,99.66555183946488,99.66555183946488
CICIDS2017-7group,44,Random Forest,Brute Force,600,96.07508532423208,93.83333333333331,94.94097807757169
CICIDS2017-7group,44,Random Forest,DDoS,600,100.0,99.83333333333331,99.9165971643036
CICIDS2017-7group,44,Random Forest,DoS,600,99.00497512437812,99.5,99.25187032418953
CICIDS2017-7group,44,Random Forest,PortScan,600,99.83277591973244,99.5,99.6661101836394
CICIDS2017-7group,44,Random Forest,Web Attack,202,83.49514563106796,85.14851485148515,84.31372549019608
CICIDS2017-7group,11,Raw+AE concat + MLP,BENIGN,600,97.16024340770792,79.83333333333333,87.64867337602928
CICIDS2017-7group,11,Raw+AE concat + MLP,Bot/Infiltration,598,90.85072231139648,94.64882943143812,92.71089271089272
CICIDS2017-7group,11,Raw+AE concat + MLP,Brute Force,600,92.43986254295532,89.66666666666666,91.0321489001692
CICIDS2017-7group,11,Raw+AE concat + MLP,DDoS,600,97.3288814691152,97.16666666666669,97.24770642201835
CICIDS2017-7group,11,Raw+AE concat + MLP,DoS,600,90.3125,96.33333333333334,93.2258064516129
CICIDS2017-7group,11,Raw+AE concat + MLP,PortScan,600,88.62179487179486,92.16666666666666,90.359477124183
CICIDS2017-7group,11,Raw+AE concat + MLP,Web Attack,202,77.82426778242679,92.07920792079209,84.35374149659864
CICIDS2017-7group,11,Raw+AE Transformer (optimized protocol),BENIGN,600,72.83702213279678,60.333333333333336,65.99817684594348
CICIDS2017-7group,11,Raw+AE Transformer (optimized protocol),Bot/Infiltration,598,89.74358974358975,81.93979933110369,85.66433566433567
CICIDS2017-7group,11,Raw+AE Transformer (optimized protocol),Brute Force,600,78.26825127334465,76.83333333333333,77.54415475189235
CICIDS2017-7group,11,Raw+AE Transformer (optimized protocol),DDoS,600,76.36363636363637,91.0,83.04182509505704
CICIDS2017-7group,11,Raw+AE Transformer (optimized protocol),DoS,600,72.97297297297297,67.5,70.12987012987013
CICIDS2017-7group,11,Raw+AE Transformer (optimized protocol),PortScan,600,89.75609756097562,92.0,90.8641975308642
CICIDS2017-7group,11,Raw+AE Transformer (optimized protocol),Web Attack,202,64.66431095406361,90.5940594059406,75.4639175257732
CICIDS2017-7group,11,XGBoost,BENIGN,600,99.49748743718592,99.0,99.24812030075188
CICIDS2017-7group,11,XGBoost,Bot/Infiltration,598,99.83277591973244,99.83277591973244,99.83277591973244
CICIDS2017-7group,11,XGBoost,Brute Force,600,95.73378839590444,93.5,94.60370994940978
CICIDS2017-7group,11,XGBoost,DDoS,600,100.0,99.83333333333331,99.9165971643036
CICIDS2017-7group,11,XGBoost,DoS,600,98.36065573770492,100.0,99.17355371900828
CICIDS2017-7group,11,XGBoost,PortScan,600,99.83277591973244,99.5,99.6661101836394
CICIDS2017-7group,11,XGBoost,Web Attack,202,83.01886792452831,87.12871287128714,85.02415458937197
CICIDS2017-7group,11,Optimized Raw Transformer,BENIGN,600,41.24293785310734,48.66666666666667,44.64831804281346
CICIDS2017-7group,11,Optimized Raw Transformer,Bot/Infiltration,598,64.22413793103449,24.91638795986622,35.903614457831324
CICIDS2017-7group,11,Optimized Raw Transformer,Brute Force,600,82.01219512195121,89.66666666666666,85.6687898089172
CICIDS2017-7group,11,Optimized Raw Transformer,DDoS,600,63.98158803222095,92.66666666666666,75.69775357385977
CICIDS2017-7group,11,Optimized Raw Transformer,DoS,600,78.92644135188867,66.16666666666666,71.98549410698097
CICIDS2017-7group,11,Optimized Raw Transformer,PortScan,600,83.16831683168317,84.0,83.5820895522388
CICIDS2017-7group,11,Optimized Raw Transformer,Web Attack,202,80.08849557522124,89.60396039603961,84.57943925233646
CICIDS2017-7group,11,AE latent + MLP,BENIGN,600,92.35181644359464,80.5,86.01959038290295
CICIDS2017-7group,11,AE latent + MLP,Bot/Infiltration,598,89.66074313408724,92.80936454849498,91.20788824979458
CICIDS2017-7group,11,AE latent + MLP,Brute Force,600,92.68707482993196,90.83333333333331,91.75084175084174
CICIDS2017-7group,11,AE latent + MLP,DDoS,600,96.8227424749164,96.5,96.661101836394
CICIDS2017-7group,11,AE latent + MLP,DoS,600,92.43697478991596,91.66666666666666,92.05020920502092
CICIDS2017-7group,11,AE latent + MLP,PortScan,600,88.20754716981132,93.5,90.77669902912622
CICIDS2017-7group,11,AE latent + MLP,Web Attack,202,77.59336099585063,92.57425742574256,84.42437923250564
